,Unnamed: 0,red_cube_start,blue_cube_start,yellow_cube_start,green_cube_start,Text Question,block_for_task,cat,other_blocks,red_cube_goal,blue_cube_goal,yellow_cube_goal,green_cube_goal,observation
262,262,"(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.55, 0.02)","Take the block that is (0.15, 0.3) from the red block and place it 0.45 horizontally and -0.3 vertically relative to the block that is leftmost",2,1,3,"(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.15, 0.55)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
263,263,"(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","Take the block that is coloured red and place it between the blocks that are (-0.45, 0.15) from the green block and rightmost",0,2,[1 3],"(-0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (0.3, 0.25)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
265,265,"(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","Take the block that is (-0.15, -0.15) from the yellow block and place it at [0.   0.55]",1,0,,"(0.0, 0.25, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
266,266,"(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.4, 0.02)",Take the block that is coloured banana-coloured and place it 0.15 horizontally and -0.3 vertically relative to the block that is coloured like a rose,2,1,0,"(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.55)
Green Cube: (0.0, 0.4)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
267,267,"(0.0, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is rightmost and place it 0.6 horizontally and 0.3 vertically relative to the block that is coloured yellow,0,1,2,"(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
269,269,"(-0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is coloured the color of warning signs and place it at [0.3  0.25],2,0,,"(-0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
272,272,"(-0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.15, 0.25, 0.02)",Take the block that is coloured like the sun and place it at [-0.3   0.55],2,0,,"(-0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.15, 0.25)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
276,276,"(0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","Take the block that is coloured screams danger and place it between the blocks that are coloured yellow and (-0.3, 0.0) from the red block",0,2,[2 1],"(-0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.0, 0.25)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
280,280,"(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured red and place it at [-0.3  0.4],0,0,,"(-0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.3, 0.55)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
281,281,"(0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.25, 0.02)",Take the block that is coloured jade and place it at [0.   0.55],3,0,,"(0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.15, 0.25)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
282,282,"(0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured love-coloured and place it between the blocks that are coloured yellow and leftmost,0,2,[2 1],"(-0.15, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (0.3, 0.55)
Blue Cube: (0.15, 0.55)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
286,286,"(0.15, 0.25, 0.02)","(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured yellow and place it at [0.15 0.4 ],2,0,,"(0.15, 0.25, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.3, 0.55)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
288,288,"(0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is highest and place it at [0.  0.4],1,0,,"(0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (-0.3, 0.25)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
289,289,"(-0.3, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is rightmost and place it at [0.3 0.4],2,0,,"(-0.3, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (-0.3, 0.4)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
290,290,"(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.15, 0.25, 0.02)",Take the block that is coloured banana-coloured and place it 0.0 horizontally and 0.3 vertically relative to the block that is coloured green,2,1,3,"(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.15, 0.25)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
291,291,"(-0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)",Take the block that is rightmost and place it between the blocks that are coloured blood-coloured and coloured the sad one,2,2,[0 1],"(-0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (0.15, 0.4)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
292,292,"(-0.15, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","Take the block that is (0.15, -0.3) from the yellow block and place it between the blocks that are coloured jade and highest",0,2,[3 2],"(0.0, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.3, 0.25)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
294,294,"(-0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured yellow and place it at [-0.3   0.25],2,0,,"(-0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.0, 0.55)
Blue Cube: (0.15, 0.4)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
295,295,"(0.0, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.25, 0.02)","Take the block that is coloured frog-coloured and place it between the blocks that are (-0.45, 0.15) from the green block and coloured yellow",3,2,[1 2],"(0.0, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.55)
Green Cube: (0.3, 0.25)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
296,296,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured yellow and place it between the blocks that are coloured the eco-friendly one and coloured red,2,2,[3 0],"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.3, 0.55)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
299,299,"(-0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.55, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is highest and place it 0.45 horizontally and 0.15 vertically relative to the block that is coloured scarlet,2,1,0,"(-0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
300,300,"(-0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured mint and place it 0.3 horizontally and -0.15 vertically relative to the block that is coloured banana-coloured,3,1,2,"(-0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
304,304,"(0.15, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)",Take the block that is coloured the colour of the US democratic party and place it at [0.3  0.55],1,0,,"(0.15, 0.25, 0.02)","(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (0.3, 0.4)
Blue Cube: (0.15, 0.4)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
309,309,"(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)",Take the block that is coloured yellow and place it 0.3 horizontally and 0.0 vertically relative to the block that is rightmost,2,1,1,"(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (-0.15, 0.55)
Blue Cube: (0.0, 0.4)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
313,313,"(0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)",Take the block that is coloured blue and place it at [-0.3  0.4],1,0,,"(0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.3, 0.25)
Blue Cube: (0.3, 0.4)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
317,317,"(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","Take the block that is (-0.3, -0.15) from the yellow block and place it at [-0.3  0.4]",3,0,,"(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
318,318,"(-0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is leftmost and place it 0.45 horizontally and 0.15 vertically relative to the block that is coloured used to signal 'hot',3,1,0,"(-0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (-0.3, 0.4)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
319,319,"(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is coloured red and place it between the blocks that are coloured gold and coloured jade,0,2,[2 3],"(0.0, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
321,321,"(0.0, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)",Take the block that is rightmost and place it at [-0.15  0.4 ],1,0,,"(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.15, 0.55)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
322,322,"(-0.15, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)",Take the block that is lowest and place it -0.3 horizontally and -0.15 vertically relative to the block that is coloured green,0,1,3,"(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.3, 0.4)
Blue Cube: (0.15, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
323,323,"(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.55, 0.02)","Take the block that is coloured yellow and place it between the blocks that are leftmost and (-0.3, 0.0) from the green block",2,2,[0 1],"(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (0.3, 0.55)
Blue Cube: (0.0, 0.55)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
327,327,"(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured like the sun and place it at [0.3  0.25],2,0,,"(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (-0.3, 0.25)
Blue Cube: (0.15, 0.25)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
331,331,"(-0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","Take the block that is coloured green and place it 0.0 horizontally and -0.3 vertically relative to the block that is (-0.15, 0.3) from the blue block",3,1,0,"(-0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.0, 0.55)
Blue Cube: (0.0, 0.25)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
333,333,"(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)",Take the block that is coloured frog-coloured and place it at [-0.3  0.4],3,0,,"(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (0.3, 0.25)
Blue Cube: (0.0, 0.55)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
335,335,"(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.25, 0.02)",Take the block that is coloured the colour that signifies 'go' and place it at [0.15 0.55],3,0,,"(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.15, 0.25)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
341,341,"(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.4, 0.02)",Take the block that is coloured jade and place it at [0.3  0.55],3,0,,"(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.15, 0.4)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
343,343,"(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured the colour of Mars and place it 0.45 horizontally and 0.15 vertically relative to the block that is coloured green,0,1,3,"(0.15, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.55)
Green Cube: (-0.3, 0.4)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
344,344,"(-0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured blue and place it at [0.15 0.55],1,0,,"(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.3, 0.55)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
345,345,"(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)",Take the block that is coloured blue and place it between the blocks that are coloured like the sun and leftmost,1,2,[2 0],"(-0.3, 0.4, 0.02)","(-0.08, 0.48, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (0.3, 0.4)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
350,350,"(0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured red and place it at [0.15 0.25],0,0,,"(0.15, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
351,351,"(-0.3, 0.4, 0.02)","(0.0, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)",Take the block that is coloured red and place it at [0.15 0.25],0,0,,"(0.15, 0.25, 0.02)","(0.0, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (0.15, 0.4)
Blue Cube: (0.0, 0.55)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
